Project Ref;Calculation Design Stage;UK District;GIFA (m2);Project Value (œm);Value Type;Project Sector;Construction Type;Storeys (#);Passivhaus;Basement Type;Foundation Type;Ground Floor Type;Superstructure Type;Cladding Type;Carbon A1-A3 (kgCO2e);Carbon A1-A5 (kgCO2e);Carbon A1-C4 (kgCO2e);Carbon A1-D (kgCO2e);A1-A3 Rate (kgCO2e/m2);A1-A5 Rate (kgCO2e/m2);A1-C4 Rate (kgCO2e/m2);A1-D Rate (kgCO2e/m2);Construction Carbon (A1-A5) (kgCO2e);Construction % Carbon (A1-A5);Concrete Total Mass (kg);Concrete Total Carbon (A1-A5) (kgCO2e);Concrete % Carbon (A1-A5);Masonry & Blockwork Total Area (m2);Masonry & Blockwork Total Carbon (A1-A5) (kgCO2e);Masonry % Blockwork % Carbon (A1-A5);Reinforcement Total Mass (kg);Reinforcement Total Carbon (A1-A5) (kgCO2e);Reinforcement % Carbon (A1-A5);Steel (Other) Total Mass (kg);Steel (Other) Total Carbon (A1-A5) (kgCO2e);Steel (Other) % Carbon (A1-A5);Steel (Sections) Total Mass (kg);Steel (Sections) Total Carbon (A1-A5) (kgCO2e);Steel (Sections) % Carbon (A1-A5);Timber (Plain) Total Mass (kg);Timber (Plain) Total Carbon (A1-A5) (kgCO2e);Timber (Plain) % Carbon (A1-A5);Timber (Products) Total Mass (kg);Timber (Products) Total Carbon (A1-A5) (kgCO2e);Timber (Products) % Carbon (A1-A5)
123;As-Built;W1;1712;8;Whole Building;Commercial;New Build (Brownfield);6;No;Full Footprint;Piled Ground Beams;Suspended RC;Concrete (In-Situ);SFS/Stone;721007;845185;905559;759839;421,1;493,7;528,9;443,8;56000;6,60%;3770966;396208;46,90%;0;0;0,00%;184324;392487;46,40%;0;0;0,00%;306;489;0,10%;0;0;0,00%;0;0;0,00%
124;As-Built;HA9;37115;100;Whole Building;Residential (Multi);New Build (Brownfield);17;No;Full Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;10594434;12219141;12847170;11134729;285,4;329,2;346,1;300;700000;5,70%;49642267;6647183;54,40%;0;0;0,00%;2005824;4271067;35,00%;0;0;0,00%;376000;600891;4,90%;0;0;0,00%;0;0;0,00%
125;As-Built;OX2;2139;7,7;Whole Building;Educational;New Build (Brownfield);3;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/Stone;620941;733807;784204;644830;290,3;343,1;366,6;301,5;53900;7,30%;2580000;278277;37,90%;0;0;0,00%;151280;322125;43,90%;0;0;0,00%;36145;57764;7,90%;12201;6065;0,80%;23023;15675;2,10%
126;As-Built;OX2;1730;11,9;Whole Building;Educational;New Build (Brownfield);5;No;Full Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/Stone;810028;965429;1025328;871577;468,2;558,1;592,7;503,8;83300;8,60%;3919200;426466;44,20%;0;0;0,00%;167149;355916;36,90%;0;0;0,00%;61044;97555;10,10%;4410;2192;0,20%;0;0;0,00%
127;Stage 4;SW7;1074;30;Whole Building;Residential (Single);New Build (Greenfield);4;No;Full Footprint;Piles (Pile Caps);Ground Bearing RC;Concrete (In-Situ);Masonry/SFS;604464;865002;889417;757411;562,8;805,4;828,1;705,2;210000;24,30%;2078968;299199;34,60%;0;0;0,00%;167096;355803;41,10%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
128;As-Built;MK18;1360;3,8;Whole Building;Educational;New Build (Brownfield);3;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Other;532911;605103;632685;527846;391,8;444,9;465,2;388,1;26600;4,40%;2107296;282183;46,60%;0;0;0,00%;122834;261554;43,20%;0;0;0,00%;20606;32931;5,40%;3692;1835;0,30%;0;0;0,00%
129;As-Built;MK18;862;4,5;Whole Building;Educational;New Build (Brownfield);3;No;None;Piled Ground Beams;Suspended RC;Masonry/Concrete;Masonry/Stone;215408;267996;283492;245290;249,9;310,9;328,9;284,6;31500;11,80%;778931;104305;38,90%;0;0;0,00%;27049;57596;21,50%;0;0;0,00%;36267;57959;21,60%;8033;3993;1,50%;12908;12643;4,70%
130;As-Built;W1;2120;10;Whole Building;Commercial;New Build (Brownfield);8;No;Full Footprint;Raft;Other;Steel Frame/Composite;Masonry/Stone;648221;765965;790296;628054;305,8;361,3;372,8;296,3;70000;9,10%;1405160;194810;25,40%;0;0;0,00%;124017;264073;34,50%;20967;65086;8,50%;107624;171995;22,50%;0;0;0,00%;0;0;0,00%
131;Stage 5;N2;10108;38;Whole Building;Residential (Multi);New Build (Brownfield);4;No;Full Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;3999749;4626047;4856395;4079777;395,7;457,7;480,5;403,6;266000;5,80%;17970925;2245970;48,60%;0;0;0,00%;896221;1908353;41,30%;37284;115737;2,50%;55614;88878;1,90%;2232;1110;0,00%;0;0;0,00%
132;As-Built;SE26;1290;5;Whole Building;Healthcare;New Build (Brownfield);3;No;None;Piled Ground Beams;Suspended RC;Steel Frame/Precast;Masonry/SFS;502663;572614;597212;510749;389,7;443,9;463;395,9;35000;6,10%;1641394;209919;36,70%;0;0;0,00%;42398;90279;15,80%;3078;9555;1,70%;141363;225914;39,50%;3917;1947;0,30%;0;0;0,00%
